Interaction ID,LR Pair,Ligand_gene,Receptor_gene,Evidence,AI summary,Ligand_aliases,Receptor_aliases,Ligand RGD ID,Receptor RGD ID,Ligand ENSEMBL ID,Receptor ENSEMBL ID,Human Ligand Symbols,Human Receptor Symbols,Ligand Location,Receptor Location
CDB15:0000011,Adam15 Itgb3,Adam15,Itgb3,Inferred,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Adam15%20Itgb3-based-on-Pubmed-ID-9516430,%209914169-in-rat","Adam15 (RH135252, RH139781, ADAM 15, CRII-7, MDC-15, MDC15, tMDC VI, tMDCVI)","Itgb3 (D10Rat140, RH144627, GPIIIa)",RGD:620402,RGD:628868,ENSRNOG00000020590,ENSRNOG00000048449,ADAM15 (MDC15),"ITGB3 (GP3A, CD61, GPIIIa)",cell membrane,cell membrane
CDB15:0000012,Adam17 Itga5,Adam17,Itga5,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Adam17%20Itga5-based-on-Pubmed-ID-14970227-in-rat,"Adam17 (RH128637, RH141932, RH70698, TACE)","Itga5 (Itga5_mapped, Itga5_retired)",RGD:620404,RGD:2925,ENSRNOG00000060694,ENSRNOG00000057451,"ADAM17 (TACE, cSVP, CD156B)","ITGA5 (FNRA, CD49e)",cell membrane,cell membrane
CDB15:0000013,Adam17 Itgb1,Adam17,Itgb1,Inferred,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Adam17%20Itgb1-based-on-Pubmed-ID-14970227,%2023888051-in-rat","Adam17 (RH128637, RH141932, RH70698, TACE)","Itgb1 (AU048052, Itgb1, RH138141, UniSTS:256618, LOC102556297)",RGD:620404,RGD:2927,ENSRNOG00000060694,ENSRNOG00000010966,"ADAM17 (TACE, cSVP, CD156B)","ITGB1 (FNRB, MSK12, MDF2, CD29, GPIIA)",cell membrane,cell membrane
CDB15:0000014,Adam23 Itgb3,Adam23,Itgb3,Inferred,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Adam23%20Itgb3-based-on-Pubmed-ID-10749942,%2019549921-in-rat","Adam23 (BF406113, D9Uia2, RH143531, LOC301460, MDC3)","Itgb3 (D10Rat140, RH144627, GPIIIa)",RGD:1305739,RGD:628868,ENSRNOG00000012424,ENSRNOG00000048449,ADAM23 (MDC3),"ITGB3 (GP3A, CD61, GPIIIa)","secreted, cell membrane",cell membrane
CDB15:0000015,Adam28 Itga4,Adam28,Itga4,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Adam28%20Itga4-based-on-Pubmed-ID-11724793-in-rat,Adam28,"Itga4 (RH142630, Itga4_mapped)",RGD:727820,RGD:1593249,ENSRNOG00000014518,ENSRNOG00000004861,"ADAM28 (eMDCII, MDC-Lm, MDC-Ls, ADAM23)","ITGA4 (CD49D, CD49d)","secreted, cell membrane",cell membrane
CDB15:0000016,Adam2 Cd9,Adam2,Cd9,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Adam2%20Cd9-based-on-Pubmed-ID-10518536-in-rat,"Adam2 (Adam2, ADAM 2, Ftnb, PH-30, PH30, PH30-beta, beta)","Cd9 (D4Got131, RH139130)",RGD:69299,RGD:2318,ENSRNOG00000017027,ENSRNOG00000019556,"ADAM2 (FTNB, PH-30b, PH30, CT15)","CD9 (MIC3, BA2, P24, TSPAN29, MRP-1)",cell membrane,cell membrane
CDB15:0000017,Adam2 Itga6,Adam2,Itga6,Inferred,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Adam2%20Itga6-based-on-Pubmed-ID-10518536,%209889149-in-rat","Adam2 (Adam2, ADAM 2, Ftnb, PH-30, PH30, PH30-beta, beta)","Itga6 (RH133150, RH138432, X69902)",RGD:69299,RGD:621633,ENSRNOG00000017027,ENSRNOG00000001518,"ADAM2 (FTNB, PH-30b, PH30, CT15)","ITGA6 (CD49f, VLA-6, ITGA6A, ITGA6B)",cell membrane,cell membrane
CDB15:0000018,Adam2 Itga9,Adam2,Itga9,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Adam2%20Itga9-based-on-Pubmed-ID-21060781-in-rat,"Adam2 (Adam2, ADAM 2, Ftnb, PH-30, PH30, PH30-beta, beta)","Itga9 (AU047111, AU048253, AU049476, BE102516, D2Mgh4, D8Got167, D8Got193, D8Got195, D9Ertd428e, RH132998, RH144307, Itga9l, LOC316055, LOC685004)",RGD:69299,RGD:1311191,ENSRNOG00000017027,ENSRNOG00000043167,"ADAM2 (FTNB, PH-30b, PH30, CT15)","ITGA9 (RLC, ITGA4L, ALPHA-RLC)",cell membrane,cell membrane
CDB15:0000019,Adam2 Itgb1,Adam2,Itgb1,Inferred,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Adam2%20Itgb1-based-on-Pubmed-ID-10518536,%209889149-in-rat","Adam2 (Adam2, ADAM 2, Ftnb, PH-30, PH30, PH30-beta, beta)","Itgb1 (AU048052, Itgb1, RH138141, UniSTS:256618, LOC102556297)",RGD:69299,RGD:2927,ENSRNOG00000017027,ENSRNOG00000010966,"ADAM2 (FTNB, PH-30b, PH30, CT15)","ITGB1 (FNRB, MSK12, MDF2, CD29, GPIIA)",cell membrane,cell membrane
CDB15:0000020,Adam2 Itgb7,Adam2,Itgb7,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Adam2%20Itgb7-based-on-Pubmed-ID-21060781-in-rat,"Adam2 (Adam2, ADAM 2, Ftnb, PH-30, PH30, PH30-beta, beta)","Itgb7 (D7Ztm1, RH94429)",RGD:69299,RGD:2929,ENSRNOG00000017027,ENSRNOG00000012208,"ADAM2 (FTNB, PH-30b, PH30, CT15)",ITGB7,cell membrane,cell membrane
CDB15:0000021,Adam9 Itga3,Adam9,Itga3,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Adam9%20Itga3-based-on-Pubmed-ID-15361064-in-rat,"Adam9 (RH136732, LOC290834, MDC9)",Itga3 (LOC360606),RGD:621473,RGD:1310333,ENSRNOG00000017231,ENSRNOG00000004276,"ADAM9 (CORD9, MDC9, KIAA0021, MCMP, Mltng)","ITGA3 (MSK18, CD49c, VLA3a, VCA-2, GAP-B3)","secreted, cell membrane",cell membrane
CDB15:0000022,Adam9 Itga6,Adam9,Itga6,Inferred,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Adam9%20Itga6-based-on-Pubmed-ID-10825303,%2015361064-in-rat","Adam9 (RH136732, LOC290834, MDC9)","Itga6 (RH133150, RH138432, X69902)",RGD:621473,RGD:621633,ENSRNOG00000017231,ENSRNOG00000001518,"ADAM9 (CORD9, MDC9, KIAA0021, MCMP, Mltng)","ITGA6 (CD49f, VLA-6, ITGA6A, ITGA6B)","secreted, cell membrane",cell membrane
CDB15:0000023,Adam9 Itgav,Adam9,Itgav,Inferred,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Adam9%20Itgav-based-on-Pubmed-ID-11162558,%2015361064-in-rat","Adam9 (RH136732, LOC290834, MDC9)","Itgav (D3Got143, RH140315, Cd51)",RGD:621473,RGD:1310613,ENSRNOG00000017231,ENSRNOG00000004912,"ADAM9 (CORD9, MDC9, KIAA0021, MCMP, Mltng)","ITGAV (VNRA, MSK8, VTNR, CD51)","secreted, cell membrane",cell membrane
CDB15:0000024,Adam9 Itgb1,Adam9,Itgb1,Inferred,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Adam9%20Itgb1-based-on-Pubmed-ID-10825303,%2015361064-in-rat","Adam9 (RH136732, LOC290834, MDC9)","Itgb1 (AU048052, Itgb1, RH138141, UniSTS:256618, LOC102556297)",RGD:621473,RGD:2927,ENSRNOG00000017231,ENSRNOG00000010966,"ADAM9 (CORD9, MDC9, KIAA0021, MCMP, Mltng)","ITGB1 (FNRB, MSK12, MDF2, CD29, GPIIA)","secreted, cell membrane",cell membrane
CDB15:0000025,Adam9 Itgb5,Adam9,Itgb5,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Adam9%20Itgb5-based-on-Pubmed-ID-11162558-in-rat,"Adam9 (RH136732, LOC290834, MDC9)","Itgb5 (AA475909, LOC498091, RGD1563276)",RGD:621473,RGD:628869,ENSRNOG00000017231,ENSRNOG00000001795,"ADAM9 (CORD9, MDC9, KIAA0021, MCMP, Mltng)",ITGB5,"secreted, cell membrane",cell membrane
CDB15:0000026,Adcyap1 Adcyap1r1,Adcyap1,Adcyap1r1,Inferred,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Adcyap1%20Adcyap1r1-based-on-Pubmed-ID-10100920,%2010583729,%2011931347,%2012429744,%2016930633,%208146174,%208253796,%208703026-in-rat","Adcyap1 (BE118210, RH139550, RH143645)","Adcyap1r1 (AI846590, PAC1-R, PACAP-R-1, PACAP-R-1A, PACAP-R1, PACAP-R1A, PACAPR1, PACAPR1A)",RGD:2037,RGD:2038,ENSRNOG00000049882,ENSRNOG00000012098,ADCYAP1 (PACAP),"ADCYAP1R1 (PAC1, PACAPR, PAC1R)",secreted,cell membrane
CDB15:0000027,Adcyap1 Sctr,Adcyap1,Sctr,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Adcyap1%20Sctr-based-on-Pubmed-ID-1335692-in-rat,"Adcyap1 (BE118210, RH139550, RH143645)","Sctr (RH142442, MGC93381, SCT-R)",RGD:2037,RGD:621342,ENSRNOG00000049882,ENSRNOG00000049766,ADCYAP1 (PACAP),SCTR,secreted,cell membrane
CDB15:0000028,Adcyap1 Vipr1,Adcyap1,Vipr1,Direct,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Adcyap1%20Vipr1-based-on-Pubmed-ID-11897681,%2016930633,%208791009,%209928018-in-rat","Adcyap1 (BE118210, RH139550, RH143645)","Vipr1 (AV071699, MARC_17029-17030:1023294211:1, RH129450, LOC501076, MGC95067, PACAP-R-2, PACAP-R2, RGD1564352, VIP-R-1)",RGD:2037,RGD:3961,ENSRNOG00000049882,ENSRNOG00000047457,ADCYAP1 (PACAP),"VIPR1 (VPAC1, RDC1, HVR1, VPAC1R)",secreted,cell membrane
CDB15:0000029,Adcyap1 Vipr2,Adcyap1,Vipr2,Inferred,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Adcyap1%20Vipr2-based-on-Pubmed-ID-16930633,%209928018-in-rat","Adcyap1 (BE118210, RH139550, RH143645)","Vipr2 (AA818985, RH132714, RH139640, UniSTS:224723)",RGD:2037,RGD:3962,ENSRNOG00000049882,ENSRNOG00000004317,ADCYAP1 (PACAP),"VIPR2 (VPAC2, VPAC2R)",secreted,cell membrane
CDB15:0000030,Adipoq Adipor1,Adipoq,Adipor1,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Adipoq%20Adipor1-based-on-Pubmed-ID-12802337-in-rat,"Adipoq (AI176736, Acdc, Acrp30, Adid)","Adipor1 (AA858656, RH16184, LOC289036)",RGD:628748,RGD:1303151,ENSRNOG00000001821,ENSRNOG00000004143,"ADIPOQ (ACDC, ACRP30, apM1, GBP28, adiponectin)","ADIPOR1 (PAQR1, ACDCR1)",secreted,cell membrane
CDB15:0000031,Adipoq Adipor2,Adipoq,Adipor2,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Adipoq%20Adipor2-based-on-Pubmed-ID-12802337-in-rat,"Adipoq (AI176736, Acdc, Acrp30, Adid)","Adipor2 (Adipor2, BM386739, RH138934, LOC312670)",RGD:628748,RGD:1307891,ENSRNOG00000001821,ENSRNOG00000007990,"ADIPOQ (ACDC, ACRP30, apM1, GBP28, adiponectin)","ADIPOR2 (PAQR2, ACDCR2)",secreted,cell membrane
CDB15:0000032,Adm2 Calcrl,Adm2,Calcrl,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Adm2%20Calcrl-based-on-Pubmed-ID-14615490-in-rat,Adm2 (Imd),"Calcrl (D3Wox15, UniSTS:488324, CLR, Crlr, RATCRLR, RNCLR)",RGD:1302971,RGD:2255,ENSRNOG00000089041,ENSRNOG00000054695,"ADM2 (AM2, FLJ21135)","CALCRL (CGRPR, CRLR)",secreted,cell membrane
CDB15:0000033,Adm2 Ramp1,Adm2,Ramp1,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Adm2%20Ramp1-based-on-Pubmed-ID-30139742-in-rat,Adm2 (Imd),Ramp1 (RH137956),RGD:1302971,RGD:61870,ENSRNOG00000089041,ENSRNOG00000089232,"ADM2 (AM2, FLJ21135)",RAMP1,secreted,cell membrane
CDB15:0000034,Adm Calcr,Adm,Calcr,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Adm%20Calcr-based-on-Pubmed-ID-12565884-in-rat,"Adm (D1Wox34, Ap, H39316)","Calcr (C1A/C1B, CT-R)",RGD:2047,RGD:621001,ENSRNOG00000027030,ENSRNOG00000010053,ADM (AM),"CALCR (CTR, CT-R)",secreted,cell membrane
CDB15:0000035,Adm Calcrl,Adm,Calcrl,Direct,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Adm%20Calcrl-based-on-Pubmed-ID-7592696,%209620797-in-rat","Adm (D1Wox34, Ap, H39316)","Calcrl (D3Wox15, UniSTS:488324, CLR, Crlr, RATCRLR, RNCLR)",RGD:2047,RGD:2255,ENSRNOG00000027030,ENSRNOG00000054695,ADM (AM),"CALCRL (CGRPR, CRLR)",secreted,cell membrane
CDB15:0000036,Adm Mrgprb3,Adm,Mrgprb3,Inferred,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Adm%20Mrgprb3-based-on-Pubmed-ID-15823563,%2016111673-in-rat","Adm (D1Wox34, Ap, H39316)","Mrgprb3 (LOC691194, MrgB3)",RGD:2047,RGD:1587398,ENSRNOG00000027030,ENSRNOG00000028982,ADM (AM),MRGPRX2 (MRGX2),secreted,cell membrane
CDB15:0000037,Adm Ramp2,Adm,Ramp2,Inferred,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Adm%20Ramp2-based-on-Pubmed-ID-10342881,%2012565884,%2015692146,%2030139742,%209620797-in-rat","Adm (D1Wox34, Ap, H39316)",Ramp2 (RH128282),RGD:2047,RGD:61872,ENSRNOG00000027030,ENSRNOG00000085964,ADM (AM),RAMP2,secreted,cell membrane
CDB15:0000038,Agrn Atp1a3,Agrn,Atp1a3,Direct,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Agrn%20Atp1a3-based-on-Pubmed-ID-16630822-in-rat,"Agrn (RH127796, RH94447, AGR)","Atp1a3 (D1Bda7, D1Mco17, RH94467, UniSTS:480319, Atpa1a3)",RGD:2067,RGD:2169,ENSRNOG00000020205,ENSRNOG00000020263,AGRN (AGRIN),ATP1A3 (DYT12),"secreted, cell membrane",cell membrane
CDB15:0000039,Agrn Lrp4,Agrn,Lrp4,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Agrn%20Lrp4-based-on-Pubmed-ID-18848351-in-rat,"Agrn (RH127796, RH94447, AGR)","Lrp4 (LRP-4, Megf7)",RGD:2067,RGD:619731,ENSRNOG00000020205,ENSRNOG00000015285,AGRN (AGRIN),"LRP4 (MEGF7, CLSS, LRP-4, SOST2)","secreted, cell membrane",cell membrane
CDB15:0000040,Agrn Musk,Agrn,Musk,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Agrn%20Musk-based-on-Pubmed-ID-8653787-in-rat,"Agrn (RH127796, RH94447, AGR)","Musk (AU048759, AW535152, Nsk1)",RGD:2067,RGD:3211,ENSRNOG00000020205,ENSRNOG00000033567,AGRN (AGRIN),MUSK,"secreted, cell membrane",cell membrane
CDB15:0000041,Agrp Mc3r,Agrp,Mc3r,Inferred,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Agrp%20Mc3r-based-on-Pubmed-ID-11747427,%209311920,%209819197,%209893984-in-rat",Agrp (RH94762),"Mc3r (UniSTS:484941, MC3-R)",RGD:2068,RGD:3056,ENSRNOG00000039001,ENSRNOG00000004451,"AGRP (Agrt, ART, ASIP2)",MC3R (MC3),secreted,cell membrane
CDB15:0000042,Agrp Mc4r,Agrp,Mc4r,Inferred,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Agrp%20Mc4r-based-on-Pubmed-ID-10318826,%2011747427,%2012815165,%209299416,%209311920,%209893984-in-rat",Agrp (RH94762),"Mc4r (D18Wox11, MC4R, PMC314306P3, RH94805, MC4-R)",RGD:2068,RGD:3057,ENSRNOG00000039001,ENSRNOG00000018692,"AGRP (Agrt, ART, ASIP2)",MC4R,secreted,cell membrane
CDB15:0000043,Agrp Mc5r,Agrp,Mc5r,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Agrp%20Mc5r-based-on-Pubmed-ID-9892020-in-rat,Agrp (RH94762),"Mc5r (RH142200, RH94550, MC5-R)",RGD:2068,RGD:3058,ENSRNOG00000039001,ENSRNOG00000016685,"AGRP (Agrt, ART, ASIP2)",MC5R,secreted,cell membrane
CDB15:0000044,Agrp Sdc3,Agrp,Sdc3,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Agrp%20Sdc3-based-on-Pubmed-ID-11461706-in-rat,Agrp (RH94762),"Sdc3 (Sdc3, SYND3)",RGD:2068,RGD:621486,ENSRNOG00000039001,ENSRNOG00000011927,"AGRP (Agrt, ART, ASIP2)","SDC3 (N-syndecan, SYND3)",secreted,cell membrane
CDB15:0000045,Agt Agtr1a,Agt,Agtr1a,Direct,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Agt%20Agtr1a-based-on-Pubmed-ID-10193788,%2012006574,%2015930094,%2017138938,%2021464395,%202775266,%2010993080,%2037540598-in-rat","Agt (ANRT, Ang, AngII, MGC105326, PAT)","Agtr1a (Agtr1a, D17Arb4, D17Mco8, D17Mco9, D17Wox34, RH130649, RH94717, UniSTS:256385, AT1, AT1A, AT1R, Agtr1)",RGD:2069,RGD:2070,ENSRNOG00000018445,ENSRNOG00000018346,AGT (SERPINA8),"AGTR1 (AGTR1B, AT1, AT2R1, AGTR1A, AT2R1A, HAT1R, AG2S, AT2R1B, AT1B, ATR1)",secreted,cell membrane
CDB15:0000046,Agt Agtr2,Agt,Agtr2,Inferred,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Agt%20Agtr2-based-on-Pubmed-ID-17138938,%2021464395,%202775266,%2037540598,%208185599-in-rat","Agt (ANRT, Ang, AngII, MGC105326, PAT)","2R)"">Agtr2 (AW107640, Agtr2, DXMgh7, DXWox27, PMC153509P1, RH139933, UniSTS:496533, AT2, AT2-R, AT2R, AT2R)",RGD:2069,RGD:2072,ENSRNOG00000018445,ENSRNOG00000050006,AGT (SERPINA8),"AGTR2 (AT2, MRX88)",secreted,cell membrane
CDB15:0000047,Agt Lrp2,Agt,Lrp2,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Agt%20Lrp2-based-on-Pubmed-ID-15467006-in-rat,"Agt (ANRT, Ang, AngII, MGC105326, PAT)","Lrp2 (D3Rat239, RH140983, UniSTS:485602, LRP-2, gp330)",RGD:2069,RGD:68407,ENSRNOG00000018445,ENSRNOG00000056184,AGT (SERPINA8),"LRP2 (gp330, DBS)",secreted,cell membrane
CDB15:0000048,Agt Mas1,Agt,Mas1,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Agt%20Mas1-based-on-Pubmed-ID-12829792-in-rat,"Agt (ANRT, Ang, AngII, MGC105326, PAT)","Mas1 (BB276039, BF386436, BF414744, RH94551, Mgra, c-mas)",RGD:2069,RGD:3049,ENSRNOG00000018445,ENSRNOG00000014971,AGT (SERPINA8),MAS1,secreted,cell membrane
