Interaction ID,LR Pair,Ligand_gene,Receptor_gene,Evidence,AI summary,Ligand_aliases,Receptor_aliases,Ligand ZFIN ID,Receptor ZFIN ID,Ligand ENSEMBL ID,Receptor ENSEMBL ID,Ligand Location,Receptor Location
CDB15:0000011,adam15 itgb3b,adam15,itgb3b,Inferred,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-adam15%20itgb3b-based-on-Pubmed-ID-9516430,%209914169-in-zebrafish","adam15 (ADAM metallopeptidase domain 15, si:dkey-24i24.1)","itgb3b (integrin beta 3b, integrin beta 3.1), itgb3b (integrin beta 3b, itgb3.1)",ZDB-GENE-070809-4,ZDB-GENE-071207-2,ENSDARG00000089213,ENSDARG00000045070,cell membrane,cell membrane
CDB15:0000012,adam17b itga5,adam17b,itga5,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-adam17b%20itga5-based-on-Pubmed-ID-14970227-in-zebrafish,"adam17b (ADAM metallopeptidase domain 17b, adam17), adam17b (ADAM metallopeptidase domain 17b, si:dkey-81b15.2)","itga5 (integrin, alpha 5 (fibronectin receptor, alpha polypeptide), before eight), itga5 (integrin, alpha 5 (fibronectin receptor, alpha polypeptide), bfe), itga5 (integrin, alpha 5 (fibronectin receptor, alpha polypeptide), sb:cb665), itga5 (integrin, alpha 5 (fibronectin receptor, alpha polypeptide), wu:fe02h07)",ZDB-GENE-041001-199,ZDB-GENE-031116-52,ENSDARG00000093093,ENSDARG00000006353,cell membrane,cell membrane
CDB15:0000013,adam17b itgb1a,adam17b,itgb1a,Inferred,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-adam17b%20itgb1a-based-on-Pubmed-ID-14970227,%2023888051-in-zebrafish","adam17b (ADAM metallopeptidase domain 17b, adam17), adam17b (ADAM metallopeptidase domain 17b, si:dkey-81b15.2)","itgb1a (integrin, beta 1a, beta1-1)",ZDB-GENE-041001-199,ZDB-GENE-060803-2,ENSDARG00000093093,ENSDARG00000071863,cell membrane,cell membrane
CDB15:0000014,adam23a itgb3b,adam23a,itgb3b,Inferred,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-adam23a%20itgb3b-based-on-Pubmed-ID-10749942,%2019549921-in-zebrafish","adam23a (ADAM metallopeptidase domain 23a, wu:fj40f01), adam23a (ADAM metallopeptidase domain 23a, wu:fq14a08)","itgb3b (integrin beta 3b, integrin beta 3.1), itgb3b (integrin beta 3b, itgb3.1)",ZDB-GENE-070810-2,ZDB-GENE-071207-2,ENSDARG00000062323,ENSDARG00000045070,"secreted, cell membrane",cell membrane
CDB15:0000015,adam28 itga4,adam28,itga4,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-adam28%20itga4-based-on-Pubmed-ID-11724793-in-zebrafish,"adam28 (ADAM metallopeptidase domain 28, si:ch211-133n22.1), adam28 (ADAM metallopeptidase domain 28, zgc:153755)","itga4 (integrin alpha 4, si:ch73-119a20.1)",ZDB-GENE-060929-532,ZDB-GENE-110411-108,ENSDARG00000035514,ENSDARG00000103056,"secreted, cell membrane",cell membrane
CDB15:0000021,adam9b itga3b,adam9b,itga3b,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-adam9b%20itga3b-based-on-Pubmed-ID-15361064-in-zebrafish,"adam9b (ADAM metallopeptidase domain 9b, ADAMLd), adam9b (ADAM metallopeptidase domain 9b, fe16c11), adam9b (ADAM metallopeptidase domain 9b, wu:fe16c11), adam9b (ADAM metallopeptidase domain 9b, zgc:174164)","itga3b (integrin, alpha 3b, badfin), itga3b (integrin, alpha 3b, bdf), itga3b (integrin, alpha 3b, frayed), itga3b (integrin, alpha 3b, fyd), itga3b (integrin, alpha 3b, im:7145180), itga3b (integrin, alpha 3b, im:7155971), itga3b (integrin, alpha 3b, itga3), itga3b (integrin, alpha 3b, unm tz296), itga3b (integrin, alpha 3b, unm_tz296)",ZDB-GENE-030131-4971,ZDB-GENE-050411-55,ENSDARG00000057138,ENSDARG00000012824,"secreted, cell membrane",cell membrane
CDB15:0000022,adam9b itga6b,adam9b,itga6b,Inferred,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-adam9b%20itga6b-based-on-Pubmed-ID-10825303,%2015361064-in-zebrafish","adam9b (ADAM metallopeptidase domain 9b, ADAMLd), adam9b (ADAM metallopeptidase domain 9b, fe16c11), adam9b (ADAM metallopeptidase domain 9b, wu:fe16c11), adam9b (ADAM metallopeptidase domain 9b, zgc:174164)","itga6b (integrin, alpha 6b, fl20e08), itga6b (integrin, alpha 6b, si:dkey-18j14.1), itga6b (integrin, alpha 6b, wu:fl20e08), itga6b (integrin, alpha 6b, zgc:113088)",ZDB-GENE-030131-4971,ZDB-GENE-050320-5,ENSDARG00000057138,ENSDARG00000069946,"secreted, cell membrane",cell membrane
CDB15:0000023,adam9b itgav,adam9b,itgav,Inferred,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-adam9b%20itgav-based-on-Pubmed-ID-11162558,%2015361064-in-zebrafish","adam9b (ADAM metallopeptidase domain 9b, ADAMLd), adam9b (ADAM metallopeptidase domain 9b, fe16c11), adam9b (ADAM metallopeptidase domain 9b, wu:fe16c11), adam9b (ADAM metallopeptidase domain 9b, zgc:174164)","itgav (integrin, alpha V, zgc:136222)",ZDB-GENE-030131-4971,ZDB-GENE-060616-382,ENSDARG00000057138,ENSDARG00000006314,"secreted, cell membrane",cell membrane
CDB15:0000024,adam9b itgb1a,adam9b,itgb1a,Inferred,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-adam9b%20itgb1a-based-on-Pubmed-ID-10825303,%2015361064-in-zebrafish","adam9b (ADAM metallopeptidase domain 9b, ADAMLd), adam9b (ADAM metallopeptidase domain 9b, fe16c11), adam9b (ADAM metallopeptidase domain 9b, wu:fe16c11), adam9b (ADAM metallopeptidase domain 9b, zgc:174164)","itgb1a (integrin, beta 1a, beta1-1)",ZDB-GENE-030131-4971,ZDB-GENE-060803-2,ENSDARG00000057138,ENSDARG00000071863,"secreted, cell membrane",cell membrane
CDB15:0000025,adam9b itgb5,adam9b,itgb5,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-adam9b%20itgb5-based-on-Pubmed-ID-11162558-in-zebrafish,"adam9b (ADAM metallopeptidase domain 9b, ADAMLd), adam9b (ADAM metallopeptidase domain 9b, fe16c11), adam9b (ADAM metallopeptidase domain 9b, wu:fe16c11), adam9b (ADAM metallopeptidase domain 9b, zgc:174164)","itgb5 (integrin, beta 5, wu:fi30h12)",ZDB-GENE-030131-4971,ZDB-GENE-030131-6022,ENSDARG00000057138,ENSDARG00000012942,"secreted, cell membrane",cell membrane
CDB15:0000026,adcyap1b adcyap1r1a,adcyap1b,adcyap1r1a,Inferred,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-adcyap1b%20adcyap1r1a-based-on-Pubmed-ID-10100920,%2010583729,%2011931347,%2012429744,%2016930633,%208146174,%208253796,%208703026-in-zebrafish","adcyap1b (adenylate cyclase activating polypeptide 1b, GHRH-LP2), adcyap1b (adenylate cyclase activating polypeptide 1b, pacap1b), adcyap1b (adenylate cyclase activating polypeptide 1b, PACAP2), adcyap1b (adenylate cyclase activating polypeptide 1b, wu:fj30e08), adcyap1b (adenylate cyclase activating polypeptide 1b, (zf)PACAP38-2), adcyap1b (adenylate cyclase activating polypeptide 1b, zgc:101522), adcyap1b (adenylate cyclase activating polypeptide 1b, zgc:92555)","adcyap1r1a (adenylate cyclase activating polypeptide 1a (pituitary) receptor type I, adcyap1r1), adcyap1r1a (adenylate cyclase activating polypeptide 1a (pituitary) receptor type I, pac1), adcyap1r1a (adenylate cyclase activating polypeptide 1a (pituitary) receptor type I, PAC1a-R), adcyap1r1a (adenylate cyclase activating polypeptide 1a (pituitary) receptor type I, PAC1B), adcyap1r1a (adenylate cyclase activating polypeptide 1a (pituitary) receptor type I, PAC1R), adcyap1r1a (adenylate cyclase activating polypeptide 1a (pituitary) receptor type I, PAC1 receptor)",ZDB-GENE-041010-89,ZDB-GENE-050315-1,ENSDARG00000027740,ENSDARG00000105201,secreted,cell membrane
CDB15:0000027,adcyap1b sctr,adcyap1b,sctr,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-adcyap1b%20sctr-based-on-Pubmed-ID-1335692-in-zebrafish,"adcyap1b (adenylate cyclase activating polypeptide 1b, GHRH-LP2), adcyap1b (adenylate cyclase activating polypeptide 1b, pacap1b), adcyap1b (adenylate cyclase activating polypeptide 1b, PACAP2), adcyap1b (adenylate cyclase activating polypeptide 1b, wu:fj30e08), adcyap1b (adenylate cyclase activating polypeptide 1b, (zf)PACAP38-2), adcyap1b (adenylate cyclase activating polypeptide 1b, zgc:101522), adcyap1b (adenylate cyclase activating polypeptide 1b, zgc:92555)",sctr,ZDB-GENE-041010-89,ZDB-GENE-220329-1,ENSDARG00000027740,ENSDARG00000101077,secreted,cell membrane
CDB15:0000028,adcyap1b vipr1a,adcyap1b,vipr1a,Inferred,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-adcyap1b%20vipr1a-based-on-Pubmed-ID-11897681,%2016930633,%208791009,%209928018-in-zebrafish","adcyap1b (adenylate cyclase activating polypeptide 1b, GHRH-LP2), adcyap1b (adenylate cyclase activating polypeptide 1b, pacap1b), adcyap1b (adenylate cyclase activating polypeptide 1b, PACAP2), adcyap1b (adenylate cyclase activating polypeptide 1b, wu:fj30e08), adcyap1b (adenylate cyclase activating polypeptide 1b, (zf)PACAP38-2), adcyap1b (adenylate cyclase activating polypeptide 1b, zgc:101522), adcyap1b (adenylate cyclase activating polypeptide 1b, zgc:92555)","vipr1a (vasoactive intestinal peptide receptor 1a, si:dkey-29d8.1), vipr1a (vasoactive intestinal peptide receptor 1a, VPAC1R)",ZDB-GENE-041010-89,ZDB-GENE-070912-506,ENSDARG00000027740,ENSDARG00000028878,secreted,cell membrane
CDB15:0000029,adcyap1b vipr2,adcyap1b,vipr2,Inferred,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-adcyap1b%20vipr2-based-on-Pubmed-ID-16930633,%209928018-in-zebrafish","adcyap1b (adenylate cyclase activating polypeptide 1b, GHRH-LP2), adcyap1b (adenylate cyclase activating polypeptide 1b, pacap1b), adcyap1b (adenylate cyclase activating polypeptide 1b, PACAP2), adcyap1b (adenylate cyclase activating polypeptide 1b, wu:fj30e08), adcyap1b (adenylate cyclase activating polypeptide 1b, (zf)PACAP38-2), adcyap1b (adenylate cyclase activating polypeptide 1b, zgc:101522), adcyap1b (adenylate cyclase activating polypeptide 1b, zgc:92555)","vipr2 (vasoactive intestinal peptide receptor 2, pacap), vipr2 (vasoactive intestinal peptide receptor 2, PHI-R), vipr2 (vasoactive intestinal peptide receptor 2, PHIR), vipr2 (vasoactive intestinal peptide receptor 2, VPAC2), vipr2 (vasoactive intestinal peptide receptor 2, vpac2-R), vipr2 (vasoactive intestinal peptide receptor 2, VPAC2R)",ZDB-GENE-041010-89,ZDB-GENE-010406-4,ENSDARG00000027740,ENSDARG00000012353,secreted,cell membrane
CDB15:0000030,adipoqb adipor1a,adipoqb,adipor1a,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-adipoqb%20adipor1a-based-on-Pubmed-ID-12802337-in-zebrafish,"adipoqb (adiponectin, C1Q and collagen domain containing, b, acrp30), adipoqb (adiponectin, C1Q and collagen domain containing, b, Acrpl), adipoqb (adiponectin, C1Q and collagen domain containing, b, adiponectin B), adipoqb (adiponectin, C1Q and collagen domain containing, b, adipoql), adipoqb (adiponectin, C1Q and collagen domain containing, b, zgc:153584)","adipor1a (adiponectin receptor 1a, adipor1), adipor1a (adiponectin receptor 1a, zgc:92893)",ZDB-GENE-060825-220,ZDB-GENE-040718-169,ENSDARG00000100086,ENSDARG00000002912,secreted,cell membrane
CDB15:0000031,adipoqb adipor2,adipoqb,adipor2,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-adipoqb%20adipor2-based-on-Pubmed-ID-12802337-in-zebrafish,"adipoqb (adiponectin, C1Q and collagen domain containing, b, acrp30), adipoqb (adiponectin, C1Q and collagen domain containing, b, Acrpl), adipoqb (adiponectin, C1Q and collagen domain containing, b, adiponectin B), adipoqb (adiponectin, C1Q and collagen domain containing, b, adipoql), adipoqb (adiponectin, C1Q and collagen domain containing, b, zgc:153584)","adipor2 (adiponectin receptor 2, si:ch211-281k12.9), adipor2 (adiponectin receptor 2, zgc:136273)",ZDB-GENE-060825-220,ZDB-GENE-041210-60,ENSDARG00000100086,ENSDARG00000101849,secreted,cell membrane
CDB15:0000032,adm2b calcrla,adm2b,calcrla,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-adm2b%20calcrla-based-on-Pubmed-ID-14615490-in-zebrafish,"adm2b (adrenomedullin 2b, si:ch73-30n17.1)","calcrla (calcitonin receptor-like a, calcrl), calcrla (calcitonin receptor-like a, CALCRL1), calcrla (calcitonin receptor-like a, CLR1), calcrla (calcitonin receptor-like a, crlr), calcrla (calcitonin receptor-like a, crlr-1), calcrla (calcitonin receptor-like a, CRLR1), calcrla (calcitonin receptor-like a, im:7141310), calcrla (calcitonin receptor-like a, zgc:100872)",ZDB-GENE-081104-279,ZDB-GENE-040822-26,ENSDARG00000078875,ENSDARG00000011473,secreted,cell membrane
CDB15:0000033,adm2b ramp1,adm2b,ramp1,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-adm2b%20ramp1-based-on-Pubmed-ID-30139742-in-zebrafish,"adm2b (adrenomedullin 2b, si:ch73-30n17.1)","ramp1 (receptor activity modifying protein 1, zgc:91818)",ZDB-GENE-081104-279,ZDB-GENE-040718-446,ENSDARG00000078875,ENSDARG00000056704,secreted,cell membrane
CDB15:0000034,admb calcr,admb,calcr,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-admb%20calcr-based-on-Pubmed-ID-12565884-in-zebrafish,admb,"calcr (calcitonin receptor, CTR), calcr (calcitonin receptor, si:ch211-77k19.2)",ZDB-GENE-120221-6,ZDB-GENE-060503-420,ENSDARG00000069027,ENSDARG00000028845,secreted,cell membrane
CDB15:0000035,admb calcrla,admb,calcrla,Inferred,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-admb%20calcrla-based-on-Pubmed-ID-7592696,%209620797-in-zebrafish",admb,"calcrla (calcitonin receptor-like a, calcrl), calcrla (calcitonin receptor-like a, CALCRL1), calcrla (calcitonin receptor-like a, CLR1), calcrla (calcitonin receptor-like a, crlr), calcrla (calcitonin receptor-like a, crlr-1), calcrla (calcitonin receptor-like a, CRLR1), calcrla (calcitonin receptor-like a, im:7141310), calcrla (calcitonin receptor-like a, zgc:100872)",ZDB-GENE-120221-6,ZDB-GENE-040822-26,ENSDARG00000069027,ENSDARG00000011473,secreted,cell membrane
CDB15:0000037,admb ramp2,admb,ramp2,Inferred,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-admb%20ramp2-based-on-Pubmed-ID-10342881,%2012565884,%2015692146,%2030139742,%209620797-in-zebrafish",admb,"ramp2 (receptor (G protein-coupled) activity modifying protein 2, zgc:174936)",ZDB-GENE-120221-6,ZDB-GENE-080204-79,ENSDARG00000069027,ENSDARG00000037895,secreted,cell membrane
CDB15:0000038,agrn atp1a3b,agrn,atp1a3b,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-agrn%20atp1a3b-based-on-Pubmed-ID-16630822-in-zebrafish,"agrn (agrin), agrn (agrin, hm:gc12), agrn (agrin, sb:eu553), agrn (agrin, wu:fb57e07)","atp1a3b (ATPase Na+/K+ transporting subunit alpha 3b, atp[a]3A), atp1a3b (ATPase Na+/K+ transporting subunit alpha 3b, cb706), atp1a3b (ATPase Na+/K+ transporting subunit alpha 3b, fj35g11), atp1a3b (ATPase Na+/K+ transporting subunit alpha 3b, wu:fj35g11), atp1a3b (ATPase Na+/K+ transporting subunit alpha 3b, wu:fq14g09)",ZDB-GENE-030131-1033,ZDB-GENE-001212-8,ENSDARG00000079388,ENSDARG00000104139,"secreted, cell membrane",cell membrane
CDB15:0000039,agrn lrp4,agrn,lrp4,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-agrn%20lrp4-based-on-Pubmed-ID-18848351-in-zebrafish,"agrn (agrin), agrn (agrin, hm:gc12), agrn (agrin, sb:eu553), agrn (agrin, wu:fb57e07)","lrp4 (low density lipoprotein receptor-related protein 4, eni), lrp4 (low density lipoprotein receptor-related protein 4, nui)",ZDB-GENE-030131-1033,ZDB-GENE-130129-1,ENSDARG00000079388,ENSDARG00000116353,"secreted, cell membrane",cell membrane
CDB15:0000040,agrn musk,agrn,musk,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-agrn%20musk-based-on-Pubmed-ID-8653787-in-zebrafish,"agrn (agrin), agrn (agrin, hm:gc12), agrn (agrin, sb:eu553), agrn (agrin, wu:fb57e07)","musk (muscle, skeletal, receptor tyrosine kinase, fj98e12), musk (muscle, skeletal, receptor tyrosine kinase, si:busm1-57f23.3), musk (muscle, skeletal, receptor tyrosine kinase, si:dz46m7.2), musk (muscle, skeletal, receptor tyrosine kinase, si:dz57f23.3), musk (muscle, skeletal, receptor tyrosine kinase, unp), musk (muscle, skeletal, receptor tyrosine kinase, unplugged), musk (muscle, skeletal, receptor tyrosine kinase, wu:fj98e12), musk (muscle, skeletal, receptor tyrosine kinase, zgc:63467)",ZDB-GENE-030131-1033,ZDB-GENE-030131-6458,ENSDARG00000079388,ENSDARG00000098764,"secreted, cell membrane",cell membrane
CDB15:0000041,agrp mc3r,agrp,mc3r,Inferred,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-agrp%20mc3r-based-on-Pubmed-ID-11747427,%209311920,%209819197,%209893984-in-zebrafish","agrp (agouti related neuropeptide, agrp1), agrp (agouti related neuropeptide, si:dkey-193l8.2)","mc3r (melanocortin 3 receptor, zgc:194235)",ZDB-GENE-040817-1,ZDB-GENE-030502-3,ENSDARG00000069089,ENSDARG00000021369,secreted,cell membrane
CDB15:0000042,agrp mc4r,agrp,mc4r,Inferred,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-agrp%20mc4r-based-on-Pubmed-ID-10318826,%2011747427,%2012815165,%209299416,%209311920,%209893984-in-zebrafish","agrp (agouti related neuropeptide, agrp1), agrp (agouti related neuropeptide, si:dkey-193l8.2)","mc4r (melanocortin 4 receptor, si:dkey-151m6.62), mc4r (melanocortin 4 receptor, zMC4)",ZDB-GENE-040817-1,ZDB-GENE-021223-2,ENSDARG00000069089,ENSDARG00000015515,secreted,cell membrane
CDB15:0000043,agrp mc5rb,agrp,mc5rb,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-agrp%20mc5rb-based-on-Pubmed-ID-9892020-in-zebrafish,"agrp (agouti related neuropeptide, agrp1), agrp (agouti related neuropeptide, si:dkey-193l8.2)","mc5rb (melanocortin 5b receptor, zgc:194217), mc5rb (melanocortin 5b receptor, zMC5b)",ZDB-GENE-040817-1,ZDB-GENE-021223-4,ENSDARG00000069089,ENSDARG00000054946,secreted,cell membrane
CDB15:0000044,agrp sdc3,agrp,sdc3,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-agrp%20sdc3-based-on-Pubmed-ID-11461706-in-zebrafish,"agrp (agouti related neuropeptide, agrp1), agrp (agouti related neuropeptide, si:dkey-193l8.2)","sdc3 (syndecan 3, wu:fa97a01)",ZDB-GENE-040817-1,ZDB-GENE-030131-9021,ENSDARG00000069089,,secreted,cell membrane
CDB15:0000045,agt agtr1b,agt,agtr1b,Inferred,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-agt%20agtr1b-based-on-Pubmed-ID-10193788,%2012006574,%2015930094,%2017138938,%2021464395,%202775266-in-zebrafish","agt (angiotensinogen, wu:fb62f06), agt (angiotensinogen, wu:fj87b02), agt (angiotensinogen, zgc:111892)","agtr1b (angiotensin II receptor, type 1b, si:dkey-65o9.2)",ZDB-GENE-030131-1205,ZDB-GENE-110411-117,ENSDARG00000016412,ENSDARG00000045443,secreted,cell membrane
