Interaction ID,LR Pair,Ligand_gene,Receptor_gene,Evidence,AI summary,Ligand_aliases,Receptor_aliases,Ligand XEN ID,Receptor XEN ID,Ligand ENSEMBL ID,Receptor ENSEMBL ID,Human Ligand Symbols,Human Receptor Symbols,Ligand Location,Receptor Location
CDB15:0000011,adam15 itgb3,adam15,itgb3,Inferred,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-adam15%20itgb3-based-on-Pubmed-ID-9516430,%209914169-in-frog",adam15 (mdc15),"itgb3 (cd61, gp3a)",XB-GENE-5944438,XB-GENE-1009964,ENSXETG00000045265,ENSXETG00000019163,ADAM15 (MDC15),"ITGB3 (GP3A, CD61, GPIIIa)",cell membrane,cell membrane
CDB15:0000012,adam17 itga5,adam17,itga5,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-adam17%20itga5-based-on-Pubmed-ID-14970227-in-frog,"adam17 (csvp, tace, adam18, cd156b)","itga5 (VLA-5, Integrin alpha5)",XB-GENE-492534,XB-GENE-493953,ENSXETG00000008262,ENSXETG00000021265,"ADAM17 (TACE, cSVP, CD156B)","ITGA5 (FNRA, CD49e)",cell membrane,cell membrane
CDB15:0000013,adam17 itgb1,adam17,itgb1,Inferred,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-adam17%20itgb1-based-on-Pubmed-ID-14970227,%2023888051-in-frog","adam17 (csvp, tace, adam18, cd156b)","itgb1 (cd29, fnrb, mdf2, vlab, gpiia, msk12, vla-beta, Beta 1 integrin, itgb1-a, itgb1-b)",XB-GENE-492534,XB-GENE-946725,ENSXETG00000008262,ENSXETG00000026716,"ADAM17 (TACE, cSVP, CD156B)","ITGB1 (FNRB, MSK12, MDF2, CD29, GPIIA)",cell membrane,cell membrane
CDB15:0000014,adam23 itgb3,adam23,itgb3,Inferred,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-adam23%20itgb3-based-on-Pubmed-ID-10749942,%2019549921-in-frog","adam23 (LOC108701467, LOC108702289)","itgb3 (cd61, gp3a)",XB-GENE-988267,XB-GENE-1009964,ENSXETG00000010118,ENSXETG00000019163,ADAM23 (MDC3),"ITGB3 (GP3A, CD61, GPIIIa)","secreted, cell membrane",cell membrane
CDB15:0000015,adam28.2 itga4,adam28.2,itga4,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-adam28.2%20itga4-based-on-Pubmed-ID-11724793-in-frog,adam28.2 (disintegrin),itga4 (inta4),XB-GENE-5949648,XB-GENE-960093,ENSXETG00000031918,ENSXETG00000014072,"ADAM28 (eMDCII, MDC-Lm, MDC-Ls, ADAM23)","ITGA4 (CD49D, CD49d)","secreted, cell membrane",cell membrane
CDB15:0000016,adam9 cd9,adam9,cd9,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-adam9%20cd9-based-on-Pubmed-ID-10518536-in-frog,"adam9 (mcmp, mdc9, cord9, mltng, meltrin-gamma, xmdc9)",cd9 (MGC82181),XB-GENE-976453,XB-GENE-949525,ENSXETG00000015156,ENSXETG00000023609,"ADAM2 (FTNB, PH-30b, PH30, CT15)","CD9 (MIC3, BA2, P24, TSPAN29, MRP-1)",cell membrane,cell membrane
CDB15:0000017,adam9 itga6,adam9,itga6,Inferred,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-adam9%20itga6-based-on-Pubmed-ID-10518536,%209889149-in-frog","adam9 (mcmp, mdc9, cord9, mltng, meltrin-gamma, xmdc9)",itga6,XB-GENE-976453,XB-GENE-489982,ENSXETG00000015156,ENSXETG00000007527,"ADAM2 (FTNB, PH-30b, PH30, CT15)","ITGA6 (CD49f, VLA-6, ITGA6A, ITGA6B)",cell membrane,cell membrane
CDB15:0000018,adam9 itga9,adam9,itga9,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-adam9%20itga9-based-on-Pubmed-ID-21060781-in-frog,"adam9 (mcmp, mdc9, cord9, mltng, meltrin-gamma, xmdc9)",itga9,XB-GENE-976453,XB-GENE-994231,ENSXETG00000015156,ENSXETG00000023422,"ADAM2 (FTNB, PH-30b, PH30, CT15)","ITGA9 (RLC, ITGA4L, ALPHA-RLC)",cell membrane,cell membrane
CDB15:0000019,adam9 itgb1,adam9,itgb1,Inferred,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-adam9%20itgb1-based-on-Pubmed-ID-10518536,%209889149-in-frog","adam9 (mcmp, mdc9, cord9, mltng, meltrin-gamma, xmdc9)","itgb1 (cd29, fnrb, mdf2, vlab, gpiia, msk12, vla-beta, Beta 1 integrin, itgb1-a, itgb1-b)",XB-GENE-976453,XB-GENE-946725,ENSXETG00000015156,ENSXETG00000026716,"ADAM2 (FTNB, PH-30b, PH30, CT15)","ITGB1 (FNRB, MSK12, MDF2, CD29, GPIIA)",cell membrane,cell membrane
CDB15:0000020,adam9 itgb7,adam9,itgb7,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-adam9%20itgb7-based-on-Pubmed-ID-21060781-in-frog,"adam9 (mcmp, mdc9, cord9, mltng, meltrin-gamma, xmdc9)",itgb7,XB-GENE-976453,XB-GENE-1012435,ENSXETG00000015156,ENSXETG00000012671,"ADAM2 (FTNB, PH-30b, PH30, CT15)",ITGB7,cell membrane,cell membrane
CDB15:0000021,adam9 itga3,adam9,itga3,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-adam9%20itga3-based-on-Pubmed-ID-15361064-in-frog,"adam9 (mcmp, mdc9, cord9, mltng, meltrin-gamma, xmdc9)","itga3 (itga3-a, itga3-b)",XB-GENE-976453,XB-GENE-493979,ENSXETG00000015156,ENSXETG00000021920,"ADAM9 (CORD9, MDC9, KIAA0021, MCMP, Mltng)","ITGA3 (MSK18, CD49c, VLA3a, VCA-2, GAP-B3)","secreted, cell membrane",cell membrane
CDB15:0000022,adam9 itga6,adam9,itga6,Inferred,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-adam9%20itga6-based-on-Pubmed-ID-10825303,%2015361064-in-frog","adam9 (mcmp, mdc9, cord9, mltng, meltrin-gamma, xmdc9)",itga6,XB-GENE-976453,XB-GENE-489982,ENSXETG00000015156,ENSXETG00000007527,"ADAM9 (CORD9, MDC9, KIAA0021, MCMP, Mltng)","ITGA6 (CD49f, VLA-6, ITGA6A, ITGA6B)","secreted, cell membrane",cell membrane
CDB15:0000023,adam9 itgav,adam9,itgav,Inferred,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-adam9%20itgav-based-on-Pubmed-ID-11162558,%2015361064-in-frog","adam9 (mcmp, mdc9, cord9, mltng, meltrin-gamma, xmdc9)","itgav (itgav-b, itgav-a)",XB-GENE-976453,XB-GENE-488969,ENSXETG00000015156,ENSXETG00000013317,"ADAM9 (CORD9, MDC9, KIAA0021, MCMP, Mltng)","ITGAV (VNRA, MSK8, VTNR, CD51)","secreted, cell membrane",cell membrane
CDB15:0000024,adam9 itgb1,adam9,itgb1,Inferred,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-adam9%20itgb1-based-on-Pubmed-ID-10825303,%2015361064-in-frog","adam9 (mcmp, mdc9, cord9, mltng, meltrin-gamma, xmdc9)","itgb1 (cd29, fnrb, mdf2, vlab, gpiia, msk12, vla-beta, Beta 1 integrin, itgb1-a, itgb1-b)",XB-GENE-976453,XB-GENE-946725,ENSXETG00000015156,ENSXETG00000026716,"ADAM9 (CORD9, MDC9, KIAA0021, MCMP, Mltng)","ITGB1 (FNRB, MSK12, MDF2, CD29, GPIIA)","secreted, cell membrane",cell membrane
CDB15:0000025,adam9 itgb5,adam9,itgb5,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-adam9%20itgb5-based-on-Pubmed-ID-11162558-in-frog,"adam9 (mcmp, mdc9, cord9, mltng, meltrin-gamma, xmdc9)",itgb5 (integrin beta-5),XB-GENE-976453,XB-GENE-6455199,ENSXETG00000015156,ENSXETG00000047570,"ADAM9 (CORD9, MDC9, KIAA0021, MCMP, Mltng)",ITGB5,"secreted, cell membrane",cell membrane
CDB15:0000026,adcyap1 adcyap1r1,adcyap1,adcyap1r1,Inferred,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-adcyap1%20adcyap1r1-based-on-Pubmed-ID-10100920,%2010583729,%2011931347,%2012429744,%2016930633,%208146174,%208253796,%208703026-in-frog",adcyap1 (pacap),"adcyap1r1 (pac1, pacapr, pacapri, P-I-R, PACAP-type-I-receptor)",XB-GENE-992312,XB-GENE-5805848,ENSXETG00000039137,ENSXETG00000010690,ADCYAP1 (PACAP),"ADCYAP1R1 (PAC1, PACAPR, PAC1R)",secreted,cell membrane
CDB15:0000027,adcyap1 sctr,adcyap1,sctr,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-adcyap1%20sctr-based-on-Pubmed-ID-1335692-in-frog,adcyap1 (pacap),sctr,XB-GENE-992312,XB-GENE-959831,ENSXETG00000039137,ENSXETG00000040455,ADCYAP1 (PACAP),SCTR,secreted,cell membrane
CDB15:0000028,adcyap1 vipr1,adcyap1,vipr1,Inferred,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-adcyap1%20vipr1-based-on-Pubmed-ID-11897681,%2016930633,%208791009,%209928018-in-frog",adcyap1 (pacap),"vipr1 (hvr1, rdc1, v1rg, vipr, virg, vapc1, vpac1, vpcap1, vpac1-r, LOC108719808)",XB-GENE-992312,XB-GENE-5991267,ENSXETG00000039137,ENSXETG00000048294,ADCYAP1 (PACAP),"VIPR1 (VPAC1, RDC1, HVR1, VPAC1R)",secreted,cell membrane
CDB15:0000029,adcyap1 vipr2,adcyap1,vipr2,Inferred,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-adcyap1%20vipr2-based-on-Pubmed-ID-16930633,%209928018-in-frog",adcyap1 (pacap),"vipr2 (vpac2, vpcap2r, vpac2-r)",XB-GENE-992312,XB-GENE-966330,ENSXETG00000039137,ENSXETG00000030788,ADCYAP1 (PACAP),"VIPR2 (VPAC2, VPAC2R)",secreted,cell membrane
CDB15:0000030,adipoq adipor1,adipoq,adipor1,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-adipoq%20adipor1-based-on-Pubmed-ID-12802337-in-frog,adipoq,adipor1,XB-GENE-1000290,XB-GENE-974529,ENSXETG00000003033,ENSXETG00000007972,"ADIPOQ (ACDC, ACRP30, apM1, GBP28, adiponectin)","ADIPOR1 (PAQR1, ACDCR1)",secreted,cell membrane
CDB15:0000031,adipoq adipor2,adipoq,adipor2,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-adipoq%20adipor2-based-on-Pubmed-ID-12802337-in-frog,adipoq,adipor2,XB-GENE-1000290,XB-GENE-991129,ENSXETG00000003033,ENSXETG00000047618,"ADIPOQ (ACDC, ACRP30, apM1, GBP28, adiponectin)","ADIPOR2 (PAQR2, ACDCR2)",secreted,cell membrane
CDB15:0000032,adm2 calcrl,adm2,calcrl,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-adm2%20calcrl-based-on-Pubmed-ID-14615490-in-frog,"adm2 (LOC108711259, LOC108713020)",calcrl,XB-GENE-22067966,XB-GENE-5736126,,ENSXETG00000013895,"ADM2 (AM2, FLJ21135)","CALCRL (CGRPR, CRLR)",secreted,cell membrane
CDB15:0000033,adm2 ramp1,adm2,ramp1,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-adm2%20ramp1-based-on-Pubmed-ID-30139742-in-frog,"adm2 (LOC108711259, LOC108713020)",ramp1,XB-GENE-22067966,XB-GENE-1010532,,ENSXETG00000010906,"ADM2 (AM2, FLJ21135)",RAMP1,secreted,cell membrane
CDB15:0000034,adm calcr,adm,calcr,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-adm%20calcr-based-on-Pubmed-ID-12565884-in-frog,adm (am),calcr,XB-GENE-494037,XB-GENE-952135,ENSXETG00000040245,ENSXETG00000031529,ADM (AM),"CALCR (CTR, CT-R)",secreted,cell membrane
CDB15:0000035,adm calcrl,adm,calcrl,Inferred,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-adm%20calcrl-based-on-Pubmed-ID-7592696,%209620797-in-frog",adm (am),calcrl,XB-GENE-494037,XB-GENE-5736126,ENSXETG00000040245,ENSXETG00000013895,ADM (AM),"CALCRL (CGRPR, CRLR)",secreted,cell membrane
CDB15:0000037,adm ramp2,adm,ramp2,Inferred,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-adm%20ramp2-based-on-Pubmed-ID-10342881,%2012565884,%2015692146,%2030139742,%209620797-in-frog",adm (am),"ramp2 (LOC108701023, LOC108702720)",XB-GENE-494037,XB-GENE-22069057,ENSXETG00000040245,ENSXETG00000048585,ADM (AM),RAMP2,secreted,cell membrane
CDB15:0000038,agrn atp1a3,agrn,atp1a3,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-agrn%20atp1a3-based-on-Pubmed-ID-16630822-in-frog,"agrn (LOC108696525, LOC108697619)",atp1a3 (LOC108697760),XB-GENE-953967,XB-GENE-996131,ENSXETG00000001763,ENSXETG00000023811,AGRN (AGRIN),ATP1A3 (DYT12),"secreted, cell membrane",cell membrane
CDB15:0000039,agrn lrp4,agrn,lrp4,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-agrn%20lrp4-based-on-Pubmed-ID-18848351-in-frog,"agrn (LOC108696525, LOC108697619)",lrp4,XB-GENE-953967,XB-GENE-494512,ENSXETG00000001763,ENSXETG00000005091,AGRN (AGRIN),"LRP4 (MEGF7, CLSS, LRP-4, SOST2)","secreted, cell membrane",cell membrane
CDB15:0000040,agrn musk,agrn,musk,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-agrn%20musk-based-on-Pubmed-ID-8653787-in-frog,"agrn (LOC108696525, LOC108697619)",musk (LOC108695348),XB-GENE-953967,XB-GENE-923007,ENSXETG00000001763,ENSXETG00000002604,AGRN (AGRIN),MUSK,"secreted, cell membrane",cell membrane
CDB15:0000041,agrp mc3r,agrp,mc3r,Inferred,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-agrp%20mc3r-based-on-Pubmed-ID-11747427,%209311920,%209819197,%209893984-in-frog",agrp,mc3r,XB-GENE-955229,XB-GENE-986713,ENSXETG00000035241,ENSXETG00000048875,"AGRP (Agrt, ART, ASIP2)",MC3R (MC3),secreted,cell membrane
CDB15:0000042,agrp mc4r,agrp,mc4r,Inferred,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-agrp%20mc4r-based-on-Pubmed-ID-10318826,%2011747427,%2012815165,%209299416,%209311920,%209893984-in-frog",agrp,mc4r,XB-GENE-955229,XB-GENE-960722,ENSXETG00000035241,ENSXETG00000040571,"AGRP (Agrt, ART, ASIP2)",MC4R,secreted,cell membrane
CDB15:0000043,agrp mc5r,agrp,mc5r,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-agrp%20mc5r-based-on-Pubmed-ID-9892020-in-frog,agrp,mc5r,XB-GENE-955229,XB-GENE-961178,ENSXETG00000035241,ENSXETG00000027297,"AGRP (Agrt, ART, ASIP2)",MC5R,secreted,cell membrane
CDB15:0000044,agrp sdc3,agrp,sdc3,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-agrp%20sdc3-based-on-Pubmed-ID-11461706-in-frog,agrp,"sdc3 (N-syndecan, Xsyn-3)",XB-GENE-955229,XB-GENE-490747,ENSXETG00000035241,ENSXETG00000007104,"AGRP (Agrt, ART, ASIP2)","SDC3 (N-syndecan, SYND3)",secreted,cell membrane
CDB15:0000045,agt agtr1,agt,agtr1,Inferred,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-agt%20agtr1-based-on-Pubmed-ID-10193788,%2012006574,%2015930094,%2017138938,%2021464395,%202775266,%2037540598-in-frog","agt (anhu, serpina8)","agtr1 (angiotensin type 1, agtr1-a, agtr1-b)",XB-GENE-480138,XB-GENE-478953,ENSXETG00000023342,ENSXETG00000034925,AGT (SERPINA8),"AGTR1 (AGTR1B, AT1, AT2R1, AGTR1A, AT2R1A, HAT1R, AG2S, AT2R1B, AT1B, ATR1)",secreted,cell membrane
CDB15:0000046,agt agtr2,agt,agtr2,Inferred,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-agt%20agtr2-based-on-Pubmed-ID-17138938,%2021464395,%202775266,%2037540598,%208185599-in-frog","agt (anhu, serpina8)","agtr2 (at2r, at2)",XB-GENE-480138,XB-GENE-922095,ENSXETG00000023342,ENSXETG00000024696,AGT (SERPINA8),"AGTR2 (AT2, MRX88)",secreted,cell membrane
CDB15:0000047,agt lrp2,agt,lrp2,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-agt%20lrp2-based-on-Pubmed-ID-15467006-in-frog,"agt (anhu, serpina8)","lrp2 (megalin, dbs, gp330)",XB-GENE-480138,XB-GENE-486052,ENSXETG00000023342,ENSXETG00000016214,AGT (SERPINA8),"LRP2 (gp330, DBS)",secreted,cell membrane
CDB15:0000048,agt mas1,agt,mas1,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-agt%20mas1-based-on-Pubmed-ID-12829792-in-frog,"agt (anhu, serpina8)","mas1 (mas, c-mas-1, c-mas, LOC121401244, LOC108712474)",XB-GENE-480138,XB-GENE-1012993,ENSXETG00000023342,ENSXETG00000037424,AGT (SERPINA8),MAS1,secreted,cell membrane
CDB15:0000049,ahsg insr,ahsg,insr,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-ahsg%20insr-based-on-Pubmed-ID-7906861-in-frog,ahsg (LOC108716982),"insr (Xe-InsR, insulin receptor, hhf5, cd220, XTK1, XTK1a, XTK1b)",XB-GENE-484785,XB-GENE-920733,ENSXETG00000019385,ENSXETG00000013518,"AHSG (FETUA, A2HS, HSGA)",INSR (CD220),secreted,cell membrane
CDB15:0000050,alb lrp2,alb,lrp2,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-alb%20lrp2-based-on-Pubmed-ID-8898021-in-frog,"alb (serum albumin, alb-a, alb-b, LOC100189571)","lrp2 (megalin, dbs, gp330)",XB-GENE-480330,XB-GENE-486052,ENSXETG00000023395,ENSXETG00000016214,ALB,"LRP2 (gp330, DBS)",secreted,cell membrane
CDB15:0000051,amh amhr2,amh,amhr2,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-amh%20amhr2-based-on-Pubmed-ID-34155118-in-frog,"amh (mif, mis, H-Y antigen)","amhr2 (LOC121400055, LOC108709904)",XB-GENE-6458638,XB-GENE-486737,ENSXETG00000035043,ENSXETG00000044113,"AMH (MIF, MIS)","AMHR2 (MISR2, MISRII)",secreted,cell membrane
CDB15:0000052,amh egfr,amh,egfr,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-amh%20egfr-based-on-Pubmed-ID-8596488-in-frog,"amh (mif, mis, H-Y antigen)","egfr (erbb, erbb1, her1, XEgfr)",XB-GENE-6458638,XB-GENE-6067152,ENSXETG00000035043,ENSXETG00000015826,"AMH (MIF, MIS)","EGFR (ERBB, ERBB1, ERRP)",secreted,cell membrane
CDB15:0000053,angpt1 itga5,angpt1,itga5,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-angpt1%20itga5-based-on-Pubmed-ID-15781448-in-frog,"angpt1 (ang1, ang-1)","itga5 (VLA-5, Integrin alpha5)",XB-GENE-488130,XB-GENE-493953,ENSXETG00000003598,ENSXETG00000021265,"ANGPT1 (KIAA0003, Ang1, AGPT-1)","ITGA5 (FNRA, CD49e)",secreted,cell membrane
CDB15:0000054,angpt1 itgb1,angpt1,itgb1,Inferred,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-angpt1%20itgb1-based-on-Pubmed-ID-15690488,%2015781448,%2019379779-in-frog","angpt1 (ang1, ang-1)","itgb1 (cd29, fnrb, mdf2, vlab, gpiia, msk12, vla-beta, Beta 1 integrin, itgb1-a, itgb1-b)",XB-GENE-488130,XB-GENE-946725,ENSXETG00000003598,ENSXETG00000026716,"ANGPT1 (KIAA0003, Ang1, AGPT-1)","ITGB1 (FNRB, MSK12, MDF2, CD29, GPIIA)",secreted,cell membrane
